PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Brooks,565.8000000000001,0.071,0.78,0.6,0.104,0.95,0.9,0.561,0.82,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.123,1.113,1.0,0.068,0.923,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.379,0.4
Aaron Gordon,725.4,0.041,0.6,0.4,0.174,1.079,1.6,0.051,1.0,0.5,0.07,1.0,0.7,0.043,0.71,0.4,0.247,0.85,2.3,0.025,0.667,0.2,0.122,1.292,1.1,0.0,0.0,0.0,0.146,1.292,1.4,0.073,0.642,0.7
Al Horford,1213.6000000000001,0.033,0.725,0.5,0.1,1.246,1.5,0.0,0.0,0.0,0.247,1.13,3.7,0.139,0.888,2.1,0.231,0.929,3.4,0.0,0.0,0.0,0.107,1.185,1.6,0.035,0.884,0.5,0.055,1.284,0.8,0.047,0.491,0.7
Al Jefferson,568.7,0.0,0.0,0.0,0.019,1.364,0.2,0.0,0.0,0.0,0.169,1.081,2.1,0.518,0.882,6.5,0.048,1.0,0.6,0.0,0.0,0.0,0.138,1.16,1.7,0.0,0.0,0.0,0.058,0.824,0.7,0.026,0.4,0.3
Al-Farouq Aminu,893.8000000000001,0.038,0.324,0.4,0.179,0.894,2.0,0.085,0.684,0.9,0.04,1.0,0.4,0.021,0.421,0.2,0.374,1.027,4.1,0.06,0.889,0.7,0.051,1.413,0.6,0.05,0.867,0.5,0.058,1.135,0.6,0.044,0.675,0.5
Alan Anderson,45.5,0.167,0.818,0.8,0.182,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,1.333,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,424.70000000000005,0.117,0.769,1.7,0.155,1.087,2.2,0.315,0.821,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.095,3.1,0.077,0.882,1.1,0.036,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.9,0.6
Alex Len,865.8,0.025,0.273,0.3,0.045,0.897,0.5,0.0,0.0,0.0,0.113,0.869,1.3,0.296,0.686,3.3,0.09,0.671,1.0,0.0,0.0,0.0,0.197,1.163,2.2,0.018,0.75,0.2,0.127,0.946,1.4,0.084,0.315,0.9
Alex Stepheson,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,3.8,0.0,0.0,0.0
Alexis Ajinca,383.5,0.0,0.0,0.0,0.043,1.0,0.3,0.0,0.0,0.0,0.275,0.945,1.8,0.096,0.684,0.6,0.151,0.75,1.0,0.0,0.0,0.0,0.171,1.088,1.2,0.045,1.0,0.3,0.108,1.116,0.7,0.086,0.353,0.6
Allen Crabbe,761.4,0.0,0.0,0.0,0.179,1.193,1.7,0.092,0.75,0.9,0.032,1.12,0.3,0.0,0.0,0.0,0.325,1.192,3.1,0.108,0.765,1.0,0.043,1.471,0.4,0.163,0.93,1.6,0.013,2.0,0.1,0.033,0.5,0.3
