PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Gordon,1318.1999999999998,0.06,0.785,1.0,0.14,1.043,2.4,0.121,0.766,2.0,0.026,0.912,0.4,0.132,0.838,2.2,0.204,1.004,3.4,0.069,1.011,1.2,0.069,1.378,1.2,0.069,0.878,1.2,0.07,1.163,1.2,0.041,0.481,0.7
Aaron Holiday,310.0,0.04,0.846,0.3,0.189,1.033,1.2,0.322,0.798,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.238,1.052,1.5,0.111,0.806,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.5,0.4
Abdel Nader,216.0,0.049,1.333,0.2,0.236,1.086,1.0,0.089,0.773,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.876,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,850.0000000000001,0.028,1.208,0.4,0.085,1.0,1.1,0.0,0.0,0.0,0.316,1.154,4.0,0.165,0.993,2.1,0.176,1.086,2.2,0.0,0.0,0.0,0.09,1.359,1.1,0.019,0.938,0.2,0.056,1.125,0.7,0.057,0.347,0.7
Al-Farouq Aminu,720.9000000000001,0.034,1.04,0.3,0.154,1.184,1.4,0.022,0.563,0.2,0.035,1.346,0.3,0.0,0.0,0.0,0.47,0.945,4.3,0.015,0.818,0.1,0.103,1.184,0.9,0.026,0.579,0.2,0.08,1.237,0.7,0.054,0.75,0.5
Alec Burks,424.99999999999994,0.114,0.837,1.4,0.133,0.807,1.7,0.271,0.69,3.4,0.0,0.0,0.0,0.026,0.909,0.3,0.187,1.237,2.4,0.07,1.133,0.9,0.051,1.318,0.6,0.04,0.882,0.5,0.044,0.947,0.6,0.058,0.8,0.7
Alex Abrines,164.29999999999998,0.0,0.0,0.0,0.175,0.742,1.0,0.079,1.214,0.5,0.056,0.6,0.3,0.0,0.0,0.0,0.424,1.067,2.4,0.085,1.333,0.5,0.0,0.0,0.0,0.113,0.85,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,230.0,0.053,1.154,0.5,0.147,1.139,1.4,0.416,0.824,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.147,1.0,1.4,0.041,1.1,0.4,0.065,1.313,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.429,0.8
Alex Len,813.1999999999999,0.015,0.5,0.2,0.086,1.239,0.9,0.0,0.0,0.0,0.197,1.093,2.1,0.109,1.1,1.2,0.213,1.057,2.3,0.0,0.0,0.0,0.142,1.128,1.5,0.0,0.0,0.0,0.146,0.908,1.6,0.081,0.358,0.9
Alex Poythress,105.0,0.0,0.0,0.0,0.16,1.353,0.8,0.0,0.0,0.0,0.179,1.316,0.9,0.0,0.0,0.0,0.292,0.871,1.5,0.0,0.0,0.0,0.104,1.273,0.5,0.0,0.0,0.0,0.16,1.0,0.8,0.104,0.091,0.5
Alfonzo McKinnie,302.40000000000003,0.0,0.0,0.0,0.175,1.175,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,1.048,1.7,0.031,0.2,0.1,0.156,1.333,0.7,0.0,0.0,0.0,0.135,0.977,0.6,0.061,0.45,0.3
Allen Crabbe,408.5,0.0,0.0,0.0,0.128,1.161,1.3,0.032,0.571,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.908,3.5,0.087,1.132,0.9,0.0,0.0,0.0,0.297,0.877,3.0,0.0,0.0,0.0,0.053,0.739,0.5
Allonzo Trier,736.0,0.106,1.0,1.2,0.23,1.047,2.6,0.336,0.802,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.167,1.089,1.9,0.042,0.839,0.5,0.015,0.727,0.2,0.033,1.0,0.4,0.024,1.278,0.3,0.039,0.621,0.5
Amir Johnson,209.09999999999997,0.0,0.0,0.0,0.119,0.846,0.5,0.0,0.0,0.0,0.123,1.185,0.5,0.0,0.0,0.0,0.164,1.0,0.7,0.0,0.0,0.0,0.237,1.0,1.0,0.0,0.0,0.0,0.155,1.029,0.7,0.16,0.371,0.7
Andre Drummond,1422.0,0.026,0.838,0.5,0.099,1.136,1.8,0.0,0.0,0.0,0.148,1.086,2.7,0.185,0.837,3.3,0.037,0.615,0.7,0.0,0.0,0.0,0.156,1.162,2.8,0.0,0.0,0.0,0.258,1.052,4.6,0.088,0.416,1.6
Andre Iguodala,367.2,0.031,0.417,0.2,0.227,1.264,1.3,0.05,0.737,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.91,2.0,0.037,1.071,0.2,0.141,1.5,0.8,0.0,0.0,0.0,0.026,1.6,0.1,0.084,0.344,0.5
Andrew Bogut,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,1.182,1.0,0.0,0.0,0.0,0.244,0.727,1.0,0.222,0.4,0.9
Andrew Harrison,41.0,0.218,0.917,1.2,0.0,0.0,0.0,0.309,0.706,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.417,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,1474.6,0.082,0.81,1.7,0.14,1.106,2.8,0.265,0.74,5.4,0.0,0.0,0.0,0.08,0.737,1.6,0.164,0.918,3.3,0.101,0.927,2.1,0.054,1.337,1.1,0.036,0.717,0.7,0.038,1.07,0.8,0.036,0.648,0.7
Ante Zizic,454.29999999999995,0.0,0.0,0.0,0.073,1.182,0.6,0.0,0.0,0.0,0.22,1.162,1.7,0.231,0.683,1.8,0.022,0.6,0.2,0.0,0.0,0.0,0.18,1.296,1.4,0.0,0.0,0.0,0.2,1.156,1.5,0.062,0.286,0.5
Anthony Davis,1321.5999999999997,0.077,0.98,1.8,0.13,1.15,3.1,0.014,0.833,0.3,0.141,1.016,3.3,0.183,0.967,4.3,0.118,1.07,2.8,0.014,0.944,0.3,0.098,1.466,2.3,0.055,0.945,1.3,0.108,1.287,2.6,0.064,0.859,1.5
Anthony Tolliver,305.5,0.0,0.0,0.0,0.144,1.37,0.7,0.0,0.0,0.0,0.113,1.306,0.6,0.0,0.0,0.0,0.538,0.953,2.6,0.0,0.0,0.0,0.041,0.846,0.2,0.056,1.111,0.3,0.0,0.0,0.0,0.056,0.333,0.3
