PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Patrick Beverley,384.0,0.049,0.7,0.4,0.123,1.12,1.0,0.207,0.857,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.451,1.104,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.75,0.3,0.081,0.212,0.7
Patrick McCaw,162.8,0.0,0.0,0.0,0.157,0.968,0.8,0.157,0.742,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.437,0.93,2.3,0.0,0.0,0.0,0.086,1.294,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Patterson,204.0,0.0,0.0,0.0,0.112,1.28,0.5,0.0,0.0,0.0,0.125,0.821,0.5,0.0,0.0,0.0,0.5,1.152,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.7,0.4,0.08,0.556,0.4
Patty Mills,661.4999999999999,0.02,0.692,0.2,0.155,1.204,1.6,0.266,1.006,2.8,0.018,1.417,0.2,0.0,0.0,0.0,0.215,1.266,2.3,0.138,1.12,1.5,0.0,0.0,0.0,0.119,0.987,1.3,0.0,0.0,0.0,0.054,0.861,0.6
Paul George,844.1999999999999,0.104,0.711,2.1,0.134,1.112,2.8,0.314,0.952,6.5,0.0,0.0,0.0,0.049,0.762,1.0,0.125,1.093,2.6,0.047,1.39,1.0,0.0,0.0,0.0,0.157,1.125,3.2,0.0,0.0,0.0,0.045,0.615,0.9
Paul Millsap,484.0,0.058,0.897,0.7,0.136,1.265,1.5,0.0,0.0,0.0,0.072,1.194,0.8,0.154,0.87,1.8,0.216,1.185,2.5,0.0,0.0,0.0,0.142,1.197,1.6,0.046,0.739,0.5,0.092,1.0,1.0,0.05,0.28,0.6
Quinn Cook,182.4,0.095,1.211,0.5,0.184,0.946,1.0,0.338,0.824,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.219,1.045,1.2,0.06,0.667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Barrett,963.2000000000002,0.065,0.667,1.1,0.209,0.941,3.6,0.277,0.682,4.8,0.0,0.0,0.0,0.037,0.972,0.6,0.193,0.968,3.3,0.069,0.716,1.2,0.042,1.098,0.7,0.035,0.824,0.6,0.033,1.125,0.6,0.038,0.459,0.7
Rajon Rondo,417.6,0.091,0.775,0.8,0.182,0.925,1.7,0.416,0.781,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.85,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.114,0.7
Raul Neto,220.5,0.047,0.364,0.2,0.155,1.0,0.7,0.326,0.75,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.258,1.033,1.2,0.064,1.667,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.565,0.5
Reggie Bullock,232.00000000000006,0.0,0.0,0.0,0.228,0.842,2.0,0.188,0.894,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.905,2.2,0.092,0.739,0.8,0.068,1.412,0.6,0.096,1.125,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Jackson,194.20000000000002,0.068,0.625,1.1,0.136,1.0,2.3,0.462,0.826,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.288,1.522,2.6,0.059,1.357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richaun Holmes,417.3,0.0,0.0,0.0,0.055,1.739,0.6,0.0,0.0,0.0,0.295,1.226,3.2,0.04,1.118,0.4,0.024,0.7,0.3,0.0,0.0,0.0,0.267,1.339,2.9,0.0,0.0,0.0,0.217,1.242,2.3,0.095,0.425,1.0
Ricky Rubio,843.6000000000001,0.021,0.944,0.3,0.149,0.937,2.2,0.4,0.778,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,1.005,3.6,0.065,0.857,1.0,0.021,0.833,0.3,0.0,0.0,0.0,0.019,0.813,0.3,0.073,0.774,1.1
Robert Covington,609.6,0.023,1.143,0.3,0.212,1.171,2.7,0.039,0.833,0.5,0.035,1.286,0.4,0.0,0.0,0.0,0.4,1.054,5.1,0.053,0.688,0.7,0.071,1.07,0.9,0.074,0.911,0.9,0.03,1.167,0.4,0.064,0.385,0.8
