PLAYER_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Gordon,1073.0,0.09,0.823,1.7,0.201,0.963,3.7,0.094,0.72,1.7,0.053,1.25,1.0,0.09,0.906,1.7,0.213,0.991,3.9,0.047,0.8,0.9,0.058,1.387,1.1,0.067,0.944,1.2,0.05,1.226,0.9,0.038,0.537,0.7
Aaron Harrison,59.400000000000006,0.0,0.0,0.0,0.15,0.917,1.3,0.175,0.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.727,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,163.2,0.0,0.0,0.0,0.161,0.813,0.7,0.151,0.633,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.658,1.6,0.05,0.8,0.2,0.0,0.0,0.0,0.07,1.071,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,928.8,0.035,1.121,0.5,0.08,0.947,1.0,0.026,0.875,0.3,0.205,1.203,2.7,0.265,0.823,3.5,0.183,1.25,2.4,0.0,0.0,0.0,0.062,1.19,0.8,0.021,0.65,0.3,0.042,1.0,0.5,0.071,0.254,0.9
Al Jefferson,219.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,1.071,1.6,0.408,1.092,2.7,0.05,0.833,0.3,0.0,0.0,0.0,0.129,1.29,0.9,0.0,0.0,0.0,0.092,0.955,0.6,0.0,0.0,0.0
Al-Farouq Aminu,683.0999999999999,0.024,0.588,0.2,0.132,1.011,1.3,0.016,0.273,0.2,0.126,1.045,1.3,0.0,0.0,0.0,0.473,0.948,4.8,0.023,0.875,0.2,0.055,1.0,0.6,0.014,0.7,0.1,0.073,0.98,0.7,0.052,0.583,0.5
Alan Williams,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.455,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,518.4000000000001,0.113,0.85,0.9,0.166,1.045,1.4,0.236,0.768,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.993,2.1,0.087,0.913,0.7,0.047,1.36,0.4,0.042,0.773,0.3,0.0,0.0,0.0,0.038,0.8,0.3
Alec Peters,56.0,0.0,0.0,0.0,0.171,0.929,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.031,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Alex Abrines,315.0,0.03,0.3,0.1,0.159,1.396,0.7,0.066,0.591,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.491,1.085,2.2,0.033,1.0,0.1,0.0,0.0,0.0,0.09,1.0,0.4,0.036,0.917,0.2,0.048,0.688,0.2
Alex Caruso,148.0,0.0,0.0,0.0,0.195,0.97,0.9,0.302,0.784,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.786,0.8,0.0,0.0,0.0,0.083,1.429,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.471,0.5
Alex Len,552.0,0.018,1.0,0.1,0.057,1.281,0.5,0.0,0.0,0.0,0.211,1.22,1.7,0.129,0.903,1.0,0.039,0.545,0.3,0.0,0.0,0.0,0.213,1.37,1.7,0.0,0.0,0.0,0.22,1.073,1.8,0.109,0.311,0.9
Allen Crabbe,952.5,0.031,1.069,0.4,0.149,1.028,1.9,0.068,0.641,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.305,1.221,3.9,0.147,0.763,1.9,0.02,1.0,0.3,0.239,1.084,3.0,0.0,0.0,0.0,0.03,0.75,0.4
Amir Johnson,347.8,0.0,0.0,0.0,0.09,0.969,0.4,0.0,0.0,0.0,0.107,1.079,0.5,0.065,0.478,0.3,0.121,1.023,0.6,0.0,0.0,0.0,0.268,1.242,1.3,0.0,0.0,0.0,0.18,1.063,0.9,0.146,0.308,0.7
Andre Drummond,1255.8,0.083,0.731,1.3,0.088,1.153,1.4,0.0,0.0,0.0,0.111,1.043,1.8,0.131,0.83,2.1,0.03,0.605,0.5,0.0,0.0,0.0,0.16,1.249,2.6,0.0,0.0,0.0,0.267,1.09,4.3,0.13,0.227,2.1
Andre Iguodala,422.4,0.054,0.609,0.4,0.261,1.072,1.7,0.054,1.0,0.4,0.0,0.0,0.0,0.045,0.579,0.3,0.256,0.697,1.7,0.054,1.0,0.4,0.096,1.39,0.6,0.042,1.333,0.3,0.045,1.0,0.3,0.075,0.344,0.5
Andre Roberson,198.90000000000003,0.0,0.0,0.0,0.201,1.071,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.651,1.1,0.0,0.0,0.0,0.297,1.242,1.6,0.0,0.0,0.0,0.153,0.938,0.8,0.096,0.35,0.5
