PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Jordan Clarkson,Los Angeles Lakers,1327.2,0.1,0.598,1.7,0.154,0.941,2.6,0.36,0.868,6,0,0,0,0.008,0.6,0.1,0.136,1.05,2.3,0.059,1.167,1,0.054,1.239,0.9,0.057,0.974,1,0.033,1,0.5,0.039,0.654,0.7
Jordan Farmar,Memphis Grizzlies,100.8,0.098,0.583,1,0.09,1.273,0.9,0.377,1.043,3.8,0,0,0,0,0,0,0.189,0.739,1.9,0,0,0,0,0,0,0.082,0.6,0.8,0,0,0,0,0,0
Jordan Hamilton,New Orleans Pelicans,102.3,0.093,0.923,1.2,0.186,1.115,2.4,0.129,1.167,1.6,0,0,0,0,0,0,0.321,0.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Hill,Indiana Pacers,700.8,0.049,0.706,0.5,0.047,0.909,0.5,0,0,0,0.198,0.964,1.9,0.241,0.822,2.3,0.076,0.736,0.7,0,0,0,0.173,1.198,1.7,0,0,0,0.131,1.207,1.3,0.076,0.34,0.7
Jordan McRae,Phoenix Suns,21.7,0,0,0,0.308,1,1.7,0.256,0.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Calderon,New York Knicks,554.4,0.022,0.917,0.2,0.102,0.982,0.8,0.381,0.83,2.9,0,0,0,0,0,0,0.23,1.289,1.8,0.077,1.093,0.6,0.029,1.313,0.2,0.077,1.047,0.6,0,0,0,0.075,0.31,0.6
Josh McRoberts,Miami Heat,163.8,0.128,0.8,0.6,0,0,0,0,0,0,0.184,0.806,0.9,0,0,0,0.342,0.716,1.6,0,0,0,0.071,1.429,0.3,0,0,0,0,0,0,0.117,0.261,0.5
Josh Richardson,Miami Heat,312.7,0.048,0.875,0.3,0.128,1.395,0.8,0.245,0.756,1.5,0,0,0,0,0,0,0.403,1.141,2.5,0.039,1.385,0.2,0.03,1.3,0.2,0,0,0,0,0,0,0.066,0.318,0.4
Josh Smith,Houston Rockets,288.2,0.126,0.852,1.2,0.136,0.788,1,0.093,0.4,0.9,0.248,0.567,1.9,0.099,0.833,0.8,0.265,0.912,2.5,0,0,0,0.107,0.846,0.8,0,0,0,0.05,1.167,0.4,0.099,0.292,0.8
Jrue Holiday,New Orleans Pelicans,1189.5,0.088,0.971,1.6,0.105,0.952,1.9,0.517,0.867,9.5,0,0,0,0.014,0.706,0.3,0.086,0.893,1.6,0.056,1.09,1,0.02,1.625,0.4,0.038,1.109,0.7,0.013,0.75,0.2,0.062,0.622,1.1
Julius Randle,Los Angeles Lakers,1093.5,0.218,0.72,3,0.158,1.04,2.1,0.022,0.667,0.3,0.094,0.728,1.3,0.119,0.656,1.6,0.112,0.699,1.5,0,0,0,0.087,1.2,1.2,0.022,0.5,0.3,0.104,1.096,1.4,0.058,0.563,0.8
Justin Anderson,Dallas Mavericks,220,0.053,0.5,0.2,0.176,1.5,0.7,0.141,0.688,0.6,0,0,0,0,0,0,0.322,0.959,1.3,0.066,0.933,0.3,0.044,0.9,0.2,0.075,0.235,0.3,0.044,1.4,0.2,0.057,0.692,0.2
Justin Holiday,Chicago Bulls,183.6,0.057,0.455,0.4,0.224,0.86,1.6,0.167,0.844,1.2,0,0,0,0,0,0,0.271,1.365,1.9,0.094,0.667,0.7,0,0,0,0.057,0.727,0.4,0,0,0,0.078,0.2,0.6
Justise Winslow,Miami Heat,600.6,0.025,0.667,0.2,0.241,0.973,1.9,0.07,0.442,0.6,0,0,0,0.034,0.476,0.3,0.302,0.772,2.4,0.043,0.423,0.3,0.12,1.068,0.9,0,0,0,0.075,1.065,0.6,0.066,0.475,0.5
Jusuf Nurkic,Denver Nuggets,336,0,0,0,0.032,1.364,0.3,0,0,0,0.245,1.012,2.6,0.319,0.639,3.4,0.032,0.545,0.3,0,0,0,0.118,1.025,1.3,0,0,0,0.153,0.654,1.6,0.094,0.313,1
Karl-Anthony Towns,Minnesota Timberwolves,1451.4,0.066,1.188,1.2,0.073,1.085,1.3,0,0,0,0.248,0.953,4.4,0.174,0.92,3.1,0.111,1.094,2,0,0,0,0.08,1.388,1.4,0.056,1.099,1,0.115,1.281,2,0.073,0.419,1.3
Kawhi Leonard,San Antonio Spurs,1324.8,0.118,0.987,2.2,0.128,1.206,2.4,0.137,1.017,2.5,0.011,1.214,0.2,0.13,1.017,2.4,0.235,1.251,4.3,0.064,1.047,1.2,0.043,1.421,0.8,0.066,1.149,1.2,0.035,1.13,0.6,0.035,0.935,0.6
Kelly Olynyk,Boston Celtics,683.1,0.029,0.4,0.3,0.139,1.316,1.4,0,0,0,0.194,1.038,1.9,0.073,0.92,0.7,0.249,1.059,2.5,0.05,0.706,0.5,0.075,1.216,0.7,0.057,1.026,0.6,0.066,0.8,0.7,0.057,0.385,0.6
Kelly Oubre Jr.,Washington Wizards,258.3,0,0,0,0.215,1.123,0.9,0.094,0.48,0.4,0,0,0,0,0,0,0.313,0.831,1.3,0.068,0.667,0.3,0.113,1.5,0.5,0.049,0.231,0.2,0.064,1.059,0.3,0.053,0.5,0.2
Kemba Walker,Charlotte Hornets,1684.8,0.077,0.723,1.6,0.138,1.236,2.9,0.467,0.894,9.7,0,0,0,0,0,0,0.14,1.144,2.9,0.06,1.069,1.2,0.02,1.455,0.4,0.033,1.055,0.7,0.013,1.318,0.3,0.053,0.778,1.1
Kendall Marshall,Philadelphia 76ers,153,0.114,0.737,0.6,0.084,0.429,0.5,0.293,0.408,1.6,0,0,0,0.06,0.8,0.3,0.281,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0.125,0.5
Kendrick Perkins,New Orleans Pelicans,98.8,0,0,0,0,0,0,0,0,0,0.242,1,0.8,0.18,0.478,0.6,0,0,0,0,0,0,0.188,1.083,0.6,0,0,0,0,0,0,0.18,0.043,0.6
Kenneth Faried,Denver Nuggets,810.7,0.022,0.444,0.3,0.133,1.324,1.6,0,0,0,0.162,1.129,2,0.115,0.936,1.4,0.052,0.643,0.6,0,0,0,0.208,1.166,2.5,0,0,0,0.213,1.052,2.6,0.091,0.5,1.1
Kent Bazemore,Atlanta Hawks,930,0.048,1,0.6,0.234,1.074,2.9,0.151,0.593,1.9,0,0,0,0,0,0,0.301,0.986,3.7,0.068,0.683,0.8,0.089,1.159,1.1,0.046,1.279,0.6,0.015,1,0.2,0.046,0.605,0.6
Kentavious Caldwell-Pope,Detroit Pistons,1155.2,0.05,0.81,0.8,0.222,1.19,3.4,0.224,0.823,3.4,0,0,0,0,0,0,0.255,0.899,3.9,0.052,0.754,0.8,0.032,1.432,0.5,0.081,0.681,1.2,0.034,1.1,0.5,0.047,0.782,0.7
