PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Aaron Brooks,Indiana Pacers,370.5,0.11,0.762,0.6,0.102,0.718,0.6,0.441,0.852,2.6,0,0,0,0,0,0,0.188,1.014,1.1,0.05,0.737,0.3,0,0,0,0.037,1.143,0.2,0,0,0,0.055,0.429,0.3
Aaron Gordon,Orlando Magic,1048,0.068,1.155,0.9,0.199,1.029,2.6,0.111,0.75,1.4,0.045,1.17,0.6,0.074,0.795,1,0.222,0.785,2.9,0.049,0.784,0.6,0.075,1.747,1,0.038,0.75,0.5,0.08,1.202,1.1,0.039,0.659,0.5
Al Horford,Boston Celtics,958.8,0.04,1.128,0.6,0.05,1.125,0.7,0,0,0,0.244,1.025,3.5,0.282,0.934,4,0.184,1.028,2.6,0,0,0,0.067,1.138,1,0.035,0.882,0.5,0.034,1,0.5,0.052,0.52,0.7
Al Jefferson,Indiana Pacers,547.8,0.018,0.6,0.2,0.018,1.1,0.2,0,0,0,0.224,0.975,1.8,0.462,0.984,3.8,0.018,0.8,0.2,0,0,0,0.122,1.182,1,0,0,0,0.094,1.059,0.8,0.039,0.476,0.3
Al-Farouq Aminu,Portland Trail Blazers,610,0.049,0.8,0.5,0.141,0.828,1.4,0.023,1.357,0.2,0.075,0.783,0.8,0.016,0.9,0.2,0.459,0.88,4.6,0.028,0.353,0.3,0.08,1.143,0.8,0,0,0,0.068,0.976,0.7,0.054,0.273,0.5
Alan Anderson,LA Clippers,78,0.191,0.833,0.6,0,0,0,0.117,1,0.4,0,0,0,0,0,0,0.5,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Williams,Phoenix Suns,352.5,0,0,0,0.096,1.5,0.7,0,0,0,0.237,1.083,1.8,0.169,0.8,1.3,0,0,0,0,0,0,0.209,0.973,1.6,0,0,0,0.181,1.078,1.4,0.093,0.333,0.7
Alec Burks,Utah Jazz,310.8,0.083,0.615,0.6,0.153,0.938,1.1,0.299,0.947,2.2,0,0,0,0,0,0,0.229,0.861,1.7,0.07,1.045,0.5,0.035,0.818,0.3,0.054,1.059,0.4,0.035,0.545,0.3,0.041,1,0.3
Alex Abrines,Oklahoma City Thunder,374,0,0,0,0.165,1.385,1,0.063,0.72,0.4,0,0,0,0,0,0,0.439,1.139,2.5,0.066,0.462,0.4,0,0,0,0.119,0.787,0.7,0.025,0.5,0.1,0.069,0.63,0.4
Alex Len,Phoenix Suns,654.5,0.023,0.8,0.2,0.068,1.133,0.6,0,0,0,0.183,0.95,1.6,0.195,0.688,1.7,0.058,0.684,0.5,0,0,0,0.177,1.224,1.5,0,0,0,0.16,1.267,1.4,0.119,0.359,1
