PLAYER_NAME,TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Alex Poythress,Philadelphia 76ers,36,0,0,0,0.197,0.667,2,0,0,0,0,0,0,0,0,0,0.393,1.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,New Orleans Pelicans,222.3,0,0,0,0.07,0.813,0.4,0,0,0,0.254,1.069,1.5,0.053,0.417,0.3,0.11,0.8,0.6,0,0,0,0.289,1.167,1.7,0,0,0,0.101,1,0.6,0.096,0.136,0.6
Allen Crabbe,Portland Trail Blazers,758.4,0.016,0.75,0.2,0.166,1.278,1.6,0.045,0.794,0.4,0.017,1.308,0.2,0,0,0,0.353,1.228,3.4,0.096,0.89,0.9,0.051,1.41,0.5,0.22,0.958,2.1,0,0,0,0.028,0.571,0.3
Amir Johnson,Boston Celtics,496,0.026,0.769,0.2,0.093,1.065,0.6,0,0,0,0.166,1.073,1,0.067,0.818,0.4,0.128,1.143,0.8,0,0,0,0.285,1.376,1.8,0,0,0,0.126,1.161,0.8,0.103,0.176,0.6
Andre Drummond,Detroit Pistons,1215,0.035,0.581,0.5,0.081,1.204,1.2,0,0,0,0.122,1.061,1.8,0.275,0.734,4.1,0.012,0.214,0.2,0,0,0,0.153,1.215,2.3,0,0,0,0.231,1.018,3.5,0.09,0.373,1.4
Andre Iguodala,Golden State Warriors,516.8,0.06,0.742,0.4,0.246,1.211,1.7,0.044,0.783,0.3,0,0,0,0.029,0.933,0.2,0.315,1.183,2.2,0.023,0.917,0.2,0.121,1.492,0.8,0.033,0.706,0.2,0.029,1.333,0.2,0.092,0.667,0.6
Andre Roberson,Oklahoma City Thunder,560.9,0,0,0,0.225,1.102,1.6,0.035,0.3,0.3,0.02,1.455,0.1,0,0,0,0.317,0.754,2.3,0.039,0.909,0.3,0.181,1.284,1.3,0,0,0,0.096,0.889,0.7,0.073,0.415,0.5
Andrew Bogut,Dallas Mavericks,127.4,0,0,0,0,0,0,0,0,0,0.117,1.067,0.6,0.094,0.833,0.5,0,0,0,0,0,0,0.203,0.923,1,0,0,0,0.227,0.828,1.1,0.336,0.116,1.7
Andrew Harrison,Memphis Grizzlies,532.8,0.119,0.859,0.9,0.117,1,0.9,0.393,0.777,2.9,0,0,0,0,0,0,0.21,0.77,1.6,0.024,0.692,0.2,0.026,1.357,0.2,0.022,0.333,0.2,0,0,0,0.073,0.385,0.5
Andrew Wiggins,Minnesota Timberwolves,1984.4,0.1,0.744,2.4,0.107,1.304,2.6,0.321,0.827,7.8,0.013,1.16,0.3,0.113,0.871,2.7,0.129,0.965,3.1,0.061,1.008,1.5,0.046,1.424,1.1,0.044,0.966,1.1,0.033,1.323,0.8,0.034,0.791,0.8
Anthony Bennett,Brooklyn Nets,98.9,0,0,0,0.108,1.077,0.6,0,0,0,0.133,1.313,0.7,0,0,0,0.342,0.537,1.8,0,0,0,0.1,1,0.5,0,0,0,0.142,1.471,0.7,0,0,0
Anthony Brown,New Orleans Pelicans,29.7,0,0,0,0.283,0.846,1.4,0,0,0,0,0,0,0,0,0,0.37,0.765,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,New Orleans Pelicans,1980,0.097,0.874,2.5,0.093,1.207,2.5,0.01,0.737,0.3,0.245,1.101,6.5,0.155,0.902,4.1,0.124,0.927,3.3,0.023,1.489,0.6,0.065,1.426,1.7,0.072,0.894,1.9,0.066,1.336,1.7,0.05,0.768,1.3
Anthony Morrow,Oklahoma City Thunder,216,0,0,0,0.154,0.946,0.9,0.041,0.6,0.3,0,0,0,0,0,0,0.465,0.946,2.8,0.104,1,0.6,0,0,0,0.075,1.167,0.5,0,0,0,0.054,0.692,0.3
Anthony Tolliver,Sacramento Kings,435.5,0,0,0,0.106,1.064,0.7,0,0,0,0.108,1.063,0.7,0.038,1.059,0.3,0.479,1.132,3.3,0,0,0,0.077,1.294,0.5,0.041,1,0.3,0.041,0.944,0.3,0.088,0.487,0.6
Archie Goodwin,Brooklyn Nets,67.2,0,0,0,0.18,1.25,1.3,0.303,1,2.3,0,0,0,0,0,0,0.27,0.958,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Baynes,Detroit Pistons,367.5,0,0,0,0.061,1.348,0.3,0,0,0,0.239,1.156,1.2,0.125,0.83,0.6,0.037,0.286,0.2,0,0,0,0.207,1.218,1,0,0,0,0.221,0.928,1.1,0.109,0.366,0.5
Arron Afflalo,Sacramento Kings,500.2,0.082,0.805,0.7,0.102,1.02,0.8,0.08,0.7,0.7,0,0,0,0.116,1.207,1,0.326,1.153,2.7,0.052,0.885,0.4,0.044,1.136,0.4,0.132,0.879,1.1,0,0,0,0.054,0.778,0.4
Austin Rivers,LA Clippers,917.6,0.194,0.944,2.4,0.131,0.975,1.6,0.335,0.955,4.2,0,0,0,0,0,0,0.197,1.126,2.5,0.071,0.848,0.9,0.019,1.111,0.2,0.013,0.25,0.2,0,0,0,0.034,0.219,0.4
Avery Bradley,Boston Celtics,885.5,0.051,0.63,0.8,0.13,0.957,2.1,0.192,0.832,3.1,0,0,0,0,0,0,0.167,1.152,2.7,0.145,0.84,2.4,0.09,1.42,1.5,0.131,1.008,2.1,0.044,1.15,0.7,0.044,0.85,0.7
Ben McLemore,Sacramento Kings,518.5,0.025,0.308,0.2,0.179,1.258,1.5,0.129,0.687,1.1,0,0,0,0,0,0,0.265,1.101,2.3,0.071,0.703,0.6,0.069,1.333,0.6,0.171,0.742,1.5,0.019,0.6,0.2,0.06,0.516,0.5
Beno Udrih,Detroit Pistons,230.1,0,0,0,0.086,0.952,0.5,0.608,0.906,3.8,0,0,0,0,0,0,0.11,1.148,0.7,0.073,0.611,0.5,0,0,0,0,0,0,0,0,0,0.061,0.467,0.4
Bismack Biyombo,Orlando Magic,542.7,0,0,0,0.072,1.179,0.5,0,0,0,0.25,0.971,1.7,0.087,0.872,0.6,0,0,0,0,0,0,0.308,1.072,2.1,0,0,0,0.138,0.867,0.9,0.131,0.282,0.9
Blake Griffin,LA Clippers,1287.1,0.107,0.914,2.3,0.141,1.257,3,0.072,1.043,1.5,0.148,0.99,3.1,0.188,0.927,4,0.155,0.936,3.3,0,0,0,0.061,1.388,1.3,0.026,0.5,0.6,0.051,1.254,1.1,0.044,0.544,0.9
Bobby Portis,Chicago Bulls,428.8,0.03,0.462,0.2,0.105,1.283,0.7,0,0,0,0.139,0.721,1,0.091,0.85,0.6,0.358,1.076,2.5,0,0,0,0.075,1.121,0.5,0,0,0,0.118,1.365,0.8,0.059,0.423,0.4
Bojan Bogdanovic,Brooklyn Nets,756.2,0.099,0.868,1.4,0.188,1.083,2.6,0.16,0.894,2.2,0,0,0,0.013,1,0.2,0.219,1.006,3.1,0.083,1.281,1.2,0.07,1.148,1,0.26,1.114,3,0.019,1.467,0.3,0.056,1.529,0.7
Boris Diaw,Utah Jazz,416.1,0.049,0.81,0.3,0.06,1.115,0.4,0.058,0.68,0.3,0.109,0.553,0.6,0.176,0.816,1,0.352,0.836,2.1,0,0,0,0.063,0.963,0.4,0,0,0,0.042,1.056,0.2,0.063,0.185,0.4
Bradley Beal,Washington Wizards,1593.9,0.083,0.917,1.7,0.172,1.344,3.6,0.225,0.97,4.7,0,0,0,0.006,1.3,0.1,0.136,1.188,2.8,0.048,0.974,1,0.039,1.286,0.8,0.224,0.978,4.7,0.016,1.115,0.3,0.047,1.026,1
Brandan Wright,Memphis Grizzlies,142.8,0,0,0,0.082,1.462,0.5,0,0,0,0.333,1.226,1.9,0.063,0.9,0.4,0,0,0,0,0,0,0.308,1.388,1.8,0,0,0,0.088,1.214,0.5,0,0,0
Brandon Bass,LA Clippers,254.8,0.051,0.615,0.3,0.091,1.826,0.4,0,0,0,0.257,1.2,1.3,0.213,1.13,1,0.083,0.762,0.4,0,0,0,0.13,1.515,0.6,0,0,0,0.123,1.032,0.6,0.051,0.538,0.3
Brandon Ingram,Los Angeles Lakers,900.6,0.147,0.788,1.7,0.138,0.823,1.6,0.215,0.591,2.4,0,0,0,0.069,0.935,0.8,0.22,0.929,2.5,0.051,0.913,0.6,0.048,1.116,0.5,0.023,1.238,0.3,0.031,1.214,0.4,0.049,0.5,0.6
Brandon Jennings,New York Knicks,580,0.077,1.022,0.8,0.215,0.961,2.2,0.433,0.751,4.4,0,0,0,0,0,0,0.145,0.907,1.5,0.042,0.84,0.4,0.019,0.909,0.2,0,0,0,0,0,0,0.047,0.643,0.5
Brandon Knight,Phoenix Suns,691.2,0.099,0.926,1.3,0.171,1.145,2.2,0.433,0.798,5.5,0,0,0,0,0,0,0.143,0.878,1.8,0.05,0.735,0.6,0.016,0.727,0.2,0.028,0.684,0.4,0.015,0.8,0.2,0.047,0.719,0.6
Brandon Rush,Minnesota Timberwolves,206.8,0,0,0,0.206,1.043,1,0,0,0,0,0,0,0,0,0,0.552,0.919,2.6,0.045,0.1,0.2,0,0,0,0.054,1.75,0.3,0,0,0,0.058,0.077,0.3
Brian Roberts,Charlotte Hornets,143.5,0.115,0.316,0.5,0.091,0.933,0.4,0.376,0.758,1.5,0,0,0,0,0,0,0.2,1.364,0.8,0.073,1.083,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Briante Weber,Charlotte Hornets,37.7,0,0,0,0.175,0.6,0.8,0.298,0.647,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.175,1.4,0.8,0,0,0,0,0,0,0,0,0
Brook Lopez,Brooklyn Nets,1500,0.06,0.889,1.2,0.063,1.253,1.3,0,0,0,0.167,1.076,3.3,0.27,0.968,5.4,0.209,1.019,4.2,0.016,1.167,0.3,0.06,1.319,1.2,0.043,0.769,0.9,0.06,1.167,1.2,0.048,0.514,1
Buddy Hield,New Orleans Pelicans,496.7,0.095,0.857,1.4,0.246,0.9,2.3,0.204,1,3,0,0,0,0,0,0,0.303,1.125,2.8,0.057,1.033,0.5,0.033,1.167,0.5,0.093,1.059,1.4,0,0,0,0.052,1.105,0.8
C.J. Watson,Orlando Magic,316.2,0.062,0.95,0.3,0.238,1.039,1.2,0.211,0.662,1.1,0,0,0,0,0,0,0.214,0.971,1.1,0.056,0.944,0.3,0.053,1,0.3,0.074,0.583,0.4,0,0,0,0.071,0.565,0.4
CJ McCollum,Portland Trail Blazers,1728,0.098,0.982,2.1,0.13,1.143,2.8,0.35,0.939,7.6,0,0,0,0,0,0,0.13,1.209,2.8,0.092,1.113,2,0.026,1.333,0.6,0.117,1.089,2.5,0.012,1.25,0.3,0.04,0.743,0.9
CJ Miles,Indiana Pacers,699.2,0,0,0,0.163,1.231,1.5,0.036,0.846,0.3,0.034,0.917,0.3,0,0,0,0.328,1.345,3.1,0.071,0.882,0.7,0.02,1.429,0.2,0.26,0.882,2.4,0.027,1.684,0.3,0.041,0.586,0.4
Cameron Payne,Oklahoma City Thunder,134,0.074,0.545,0.6,0.128,0.474,1,0.459,0.618,3.4,0,0,0,0,0,0,0.23,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caris LeVert,Brooklyn Nets,478.8,0.081,0.923,0.7,0.225,1.213,1.9,0.202,0.876,1.7,0,0,0,0,0,0,0.308,0.953,2.6,0.067,0.938,0.6,0.029,1.071,0.2,0.042,0.6,0.4,0,0,0,0.035,0.588,0.3
Carmelo Anthony,New York Knicks,1709.4,0.231,0.987,5.3,0.077,0.916,1.8,0.168,0.803,3.8,0.025,0.905,0.6,0.167,0.919,3.8,0.152,1.233,3.5,0.03,0.647,0.7,0.024,1.293,0.6,0.056,1,1.3,0.029,0.959,0.7,0.042,0.732,1
Chandler Parsons,Memphis Grizzlies,251.6,0.06,0.5,0.5,0.117,1.323,0.9,0.181,0.583,1.4,0,0,0,0.064,0.941,0.5,0.332,0.807,2.6,0.06,0.313,0.5,0,0,0,0.094,0.8,0.7,0,0,0,0.038,0.4,0.3
Channing Frye,Cleveland Cavaliers,592,0.017,0.9,0.1,0.102,1.145,0.8,0,0,0,0.173,1.133,1.4,0.078,0.957,0.6,0.398,1.274,3.3,0,0,0,0.061,1.514,0.5,0.063,0.974,0.5,0.035,0.476,0.3,0.064,0.359,0.5
Chasson Randle,New York Knicks,66.6,0,0,0,0.149,1.067,0.8,0.297,0.5,1.7,0,0,0,0,0,0,0.208,0.619,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheick Diallo,New Orleans Pelicans,69.7,0,0,0,0,0,0,0,0,0,0.141,1.077,0.8,0.141,0.923,0.8,0.141,0.769,0.8,0,0,0,0.141,1.231,0.8,0,0,0,0.163,1.2,0.9,0,0,0
Chris Paul,LA Clippers,1024.8,0.175,1.093,3,0.14,1.144,2.4,0.447,0.961,7.6,0,0,0,0.03,1.129,0.5,0.09,1.096,1.5,0.027,0.821,0.5,0,0,0,0,0,0,0,0,0,0.076,0.987,1.3
Clint Capela,Houston Rockets,715,0.022,0.375,0.2,0.136,1.131,1.5,0,0,0,0.28,1.142,3.1,0.033,1.042,0.4,0,0,0,0,0,0,0.299,1.385,3.4,0,0,0,0.144,1.067,1.6,0.071,0.442,0.8
Cody Zeller,Charlotte Hornets,576.6,0.025,1,0.2,0.088,1.5,0.8,0,0,0,0.331,1.051,3.1,0.017,1.1,0.2,0.093,0.618,0.9,0,0,0,0.212,1.32,2,0.025,0.933,0.2,0.092,1.315,0.9,0.1,0.424,1
Corey Brewer,Los Angeles Lakers,236.4,0,0,0,0.338,1.157,2.1,0.043,1,0.2,0,0,0,0,0,0,0.396,0.818,1.9,0.076,0.857,0.4,0.101,1.286,0.5,0,0,0,0,0,0,0.073,1.364,0.5
Cory Joseph,Toronto Raptors,832,0.084,1.058,0.9,0.122,1.099,1.3,0.451,0.801,4.7,0,0,0,0,0,0,0.221,0.89,2.3,0.021,0.647,0.2,0,0,0,0.024,1.3,0.3,0.017,1,0.2,0.048,0.675,0.5
Courtney Lee,New York Knicks,808.5,0.076,1.048,0.8,0.167,1.279,1.8,0.156,0.835,1.6,0,0,0,0,0,0,0.289,0.97,3.1,0.097,0.937,1,0.028,1.435,0.3,0.117,0.958,1.2,0.027,1,0.3,0.038,0.935,0.4
Cristiano Felicio,Chicago Bulls,290.4,0,0,0,0.082,1.375,0.4,0,0,0,0.276,1.123,1.2,0.044,0.538,0.2,0.092,0.778,0.4,0,0,0,0.156,1.348,0.7,0,0,0,0.269,1.165,1.2,0.068,0.4,0.3
D'Angelo Russell,Los Angeles Lakers,1121.4,0.078,0.955,1.4,0.123,0.928,2.2,0.396,0.76,7.1,0,0,0,0.048,0.87,0.9,0.115,0.984,2,0.091,1.088,1.6,0.023,1.385,0.4,0.052,0.983,0.9,0.011,1.25,0.2,0.06,0.471,1.1
D.J. Augustin,Orlando Magic,678.6,0.046,0.742,0.4,0.146,0.879,1.3,0.4,0.937,3.5,0,0,0,0,0,0,0.183,1.04,1.6,0.075,0.941,0.7,0,0,0,0.075,0.98,0.7,0,0,0,0.056,0.184,0.5
Damian Lillard,Portland Trail Blazers,1905,0.158,1.053,4,0.094,1.18,2.4,0.434,1.018,11,0,0,0,0,0,0,0.066,1.119,1.7,0.095,0.956,2.4,0.036,1.319,0.9,0.065,0.96,1.7,0.011,1.048,0.3,0.038,0.944,1
Danilo Gallinari,Denver Nuggets,995.4,0.128,0.969,2,0.131,1.115,2.1,0.106,1.057,1.7,0.033,1.182,0.5,0.115,1.2,1.8,0.264,1.156,4.2,0.08,0.95,1.3,0.053,1.642,0.8,0.043,1.116,0.7,0.021,1.143,0.3,0.024,1,0.4
Danny Green,San Antonio Spurs,530.4,0,0,0,0.207,0.793,1.6,0.065,0.743,0.5,0,0,0,0,0,0,0.458,1.033,3.6,0.047,0.72,0.4,0.022,1.333,0.2,0.086,1.239,0.7,0.037,0.95,0.3,0.067,0.361,0.5
Dante Cunningham,New Orleans Pelicans,389.4,0,0,0,0.176,1.254,1.1,0,0,0,0.047,1.789,0.3,0,0,0,0.481,1.046,2.9,0,0,0,0.146,1.085,0.9,0,0,0,0.074,0.933,0.5,0.037,0.133,0.2
Dante Exum,Utah Jazz,475.2,0.071,0.912,0.5,0.152,1.068,1.1,0.252,0.777,1.8,0,0,0,0,0,0,0.329,0.873,2.4,0.04,0.526,0.3,0.048,1.348,0.3,0.035,0.882,0.3,0.031,0.667,0.2,0.038,0.278,0.3
Dario Saric,Philadelphia 76ers,1198.8,0.111,0.739,1.7,0.151,0.945,2.2,0.051,0.468,0.8,0.094,0.842,1.4,0.084,0.812,1.2,0.272,0.869,4,0.017,0.95,0.2,0.063,1.25,0.9,0.051,0.581,0.8,0.059,1.239,0.9,0.048,0.534,0.7
Darrell Arthur,Denver Nuggets,236,0,0,0,0.114,1.172,0.7,0,0,0,0.263,0.985,1.7,0,0,0,0.396,1.139,2.5,0,0,0,0.039,1.7,0.3,0,0,0,0.039,0.9,0.3,0.067,0.118,0.4
Darren Collison,Sacramento Kings,884,0.089,0.937,1.2,0.171,1.099,2.2,0.359,0.856,4.7,0,0,0,0,0,0,0.168,1.107,2.2,0.072,0.984,0.9,0.043,1.158,0.6,0.037,1.394,0.5,0,0,0,0.052,0.674,0.7
David Lee,San Antonio Spurs,545.1,0.053,1,0.4,0.095,1.308,0.7,0,0,0,0.173,1.042,1.2,0.133,0.904,0.9,0.073,0.825,0.5,0,0,0,0.231,1.276,1.6,0,0,0,0.162,1.146,1.1,0.066,0.25,0.5
David Nwaba,Los Angeles Lakers,82,0,0,0,0.284,1.29,1.6,0,0,0,0,0,0,0,0,0,0.193,0.905,1.1,0,0,0,0.138,1.267,0.8,0,0,0,0.11,1.667,0.6,0,0,0
David West,Golden State Warriors,346.8,0,0,0,0.067,0.875,0.4,0,0,0,0.157,0.893,0.8,0.233,0.795,1.2,0.174,1.032,0.9,0,0,0,0.157,1.321,0.8,0.034,1,0.2,0.048,1,0.3,0.096,0.088,0.5
Davis Bertans,San Antonio Spurs,254.6,0,0,0,0.147,1,0.6,0,0,0,0.086,0.708,0.4,0,0,0,0.493,1.19,2,0,0,0,0.047,1.538,0.2,0.079,1.182,0.3,0,0,0,0.072,0.3,0.3
DeAndre Jordan,LA Clippers,858.6,0,0,0,0.067,1.542,0.7,0,0,0,0.195,1.52,2.1,0.106,0.882,1.1,0,0,0,0,0,0,0.217,1.416,2.3,0,0,0,0.248,1.051,2.7,0.158,0.529,1.7
DeAndre Liggins,Cleveland Cavaliers,176.9,0.057,0.636,0.2,0.249,0.854,0.8,0.119,0.522,0.4,0,0,0,0,0,0,0.358,0.812,1.1,0,0,0,0.067,0.846,0.2,0,0,0,0,0,0,0.078,0.6,0.2
DeMar DeRozan,Toronto Raptors,1998,0.171,1.023,4.6,0.088,1.261,2.4,0.409,0.967,11.1,0,0,0,0.09,1.133,2.4,0.069,0.95,1.9,0.049,0.808,1.3,0.008,1.25,0.2,0.072,0.778,1.9,0.017,0.941,0.5,0.026,0.75,0.7
DeMarcus Cousins,Sacramento Kings,1556.5,0.152,0.843,4.3,0.084,1.015,2.4,0.012,1.222,0.3,0.152,0.954,4.3,0.209,0.936,5.9,0.191,1.01,5.4,0.01,1.267,0.3,0.03,1.217,0.8,0.043,1.045,1.2,0.052,1.21,1.5,0.066,0.66,1.9
DeMarre Carroll,Toronto Raptors,640.8,0.036,0.708,0.3,0.261,1.093,2.4,0.044,0.724,0.4,0,0,0,0,0,0,0.432,0.912,3.9,0,0,0,0.055,1.194,0.5,0.055,0.833,0.5,0.05,1.152,0.5,0.043,0.643,0.4
Delon Wright,Toronto Raptors,143.1,0.084,0.786,0.5,0.181,1.033,1.1,0.47,0.91,2.9,0,0,0,0,0,0,0.127,1.048,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schroder,Atlanta Hawks,1572.1,0.111,0.931,2.2,0.111,0.879,2.2,0.505,0.838,10.1,0,0,0,0,0,0,0.102,1.23,2,0.045,0.915,0.9,0.011,0.944,0.2,0.045,1.028,0.9,0.008,1.077,0.2,0.06,0.484,1.2
Denzel Valentine,Chicago Bulls,324.9,0,0,0,0.207,0.845,1.2,0.163,0.464,1,0,0,0,0,0,0,0.382,0.947,2.3,0.131,0.933,0.8,0,0,0,0.029,0.9,0.2,0,0,0,0.038,1,0.2
Deron Williams,Dallas Mavericks,576,0.129,0.693,1.9,0.071,0.976,1,0.359,0.899,5.2,0,0,0,0.05,1.034,0.7,0.133,1,1.9,0.045,0.962,0.7,0.022,1.077,0.3,0.124,1.014,1.8,0,0,0,0.064,0.324,0.9
Derrick Favors,Utah Jazz,505,0,0,0,0.027,1,0.3,0,0,0,0.256,0.963,2.7,0.177,0.892,1.9,0.118,0.758,1.2,0,0,0,0.24,1.056,2.5,0,0,0,0.099,1,1,0.046,0.208,0.5
Derrick Jones Jr.,Phoenix Suns,121.6,0,0,0,0.301,0.957,1.4,0,0,0,0,0,0,0,0,0,0.118,0.889,0.6,0,0,0,0.216,1.364,1,0,0,0,0.176,1.333,0.8,0,0,0
Derrick Rose,New York Knicks,1235.2,0.117,0.882,2.3,0.17,1.115,3.3,0.389,0.904,7.5,0,0,0,0,0,0,0.123,0.801,2.4,0.045,1.054,0.9,0.045,1.073,0.9,0.031,1.026,0.6,0.026,1.219,0.5,0.048,0.525,0.9
Derrick Williams,Cleveland Cavaliers,147.5,0,0,0,0.245,1.559,1.4,0,0,0,0.191,0.758,1.3,0,0,0,0.367,1.039,2,0,0,0,0.116,1.05,0.8,0,0,0,0.064,0.909,0.4,0,0,0
Devin Booker,Phoenix Suns,1856.4,0.13,0.938,3.1,0.202,1.13,4.8,0.267,0.778,6.4,0,0,0,0.054,1.01,1.3,0.101,1.069,2.4,0.047,0.598,1.1,0.019,1,0.5,0.119,0.887,2.8,0.016,0.966,0.4,0.043,0.658,1
Devin Harris,Dallas Mavericks,448.5,0.073,1.03,0.5,0.202,0.891,1.4,0.18,0.817,1.3,0,0,0,0,0,0,0.288,1.122,2,0.044,0.8,0.3,0.055,1.4,0.4,0.077,1,0.5,0,0,0,0.073,0.515,0.5
Dewayne Dedmon,San Antonio Spurs,349.6,0,0,0,0.07,1.24,0.3,0,0,0,0.267,1.146,1.3,0.036,0.462,0.2,0,0,0,0,0,0,0.279,1.28,1.3,0,0,0,0.214,1.182,1,0.103,0.27,0.5
Dion Waiters,Miami Heat,809.6,0.217,0.855,3.9,0.148,1.074,2.7,0.279,0.722,5,0,0,0,0,0,0,0.208,1.123,3.7,0.052,0.651,0.9,0,0,0,0.045,0.946,0.8,0,0,0,0.033,0.481,0.6
Dirk Nowitzki,Dallas Mavericks,756,0.036,0.929,0.5,0.073,0.964,1,0,0,0,0.28,0.958,4,0.213,0.945,3,0.247,1.153,3.5,0,0,0,0.026,1.3,0.4,0.053,0.561,0.8,0.02,0.8,0.3,0.038,0.552,0.5
Domantas Sabonis,Oklahoma City Thunder,599.4,0.022,0.846,0.2,0.132,1.038,1,0,0,0,0.217,0.859,1.6,0.159,0.649,1.2,0.288,0.847,2.1,0,0,0,0.096,0.825,0.7,0,0,0,0.037,0.5,0.3,0.037,0.091,0.3
Donatas Motiejunas,New Orleans Pelicans,187,0,0,0,0.106,1.35,0.6,0,0,0,0.201,0.737,1.1,0.111,1.048,0.6,0.212,0.45,1.2,0,0,0,0.185,0.771,1,0,0,0,0.069,1,0.4,0.106,0.5,0.6
Dorian Finney-Smith,Dallas Mavericks,388.8,0.029,0.333,0.1,0.13,0.943,0.7,0.047,0.526,0.2,0,0,0,0,0,0,0.521,0.858,2.6,0,0,0,0.071,1.552,0.4,0.044,0.389,0.2,0.052,0.857,0.3,0.069,0.536,0.3
Doug McDermott,Chicago Bulls,418,0,0,0,0.181,0.923,1.8,0.032,1,0.3,0,0,0,0.044,1.158,0.4,0.287,1.008,2.8,0.081,0.914,0.8,0.097,1.167,1,0.204,1.034,2,0,0,0,0.042,1,0.4
Dragan Bender,Phoenix Suns,154.8,0,0,0,0.159,1.161,0.7,0,0,0,0.056,0.273,0.3,0,0,0,0.441,0.814,2,0,0,0,0,0,0,0,0,0,0.077,0.933,0.3,0.062,0.167,0.3
Draymond Green,Golden State Warriors,919.6,0.027,0.44,0.3,0.186,0.937,2.3,0.05,0.596,0.6,0.088,0.829,1.1,0.075,0.643,0.9,0.252,0.945,3.1,0,0,0,0.111,1.279,1.4,0.035,0.727,0.4,0.06,0.821,0.7,0.106,0.202,1.3
