TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Houston Rockets,9192.2,0.094,0.947,10.6,0.18,1.082,20.2,0.182,0.934,20.4,0.076,1.134,8.5,0.021,0.817,2.4,0.202,1.03,22.7,0.033,0.907,3.7,0.074,1.382,8.3,0.037,0.962,4.2,0.047,1.08,5.3,0.052,0.639,5.8
Indiana Pacers,8774.0,0.081,0.942,8.7,0.139,1.077,14.8,0.173,0.885,18.5,0.088,0.991,9.4,0.072,0.932,7.7,0.16,1.053,17.1,0.031,0.884,3.4,0.078,1.265,8.4,0.078,0.933,8.3,0.045,1.092,4.8,0.056,0.437,5.9
LA Clippers,8741.199999999999,0.106,0.915,11.3,0.124,1.155,13.2,0.178,0.919,19.0,0.077,1.149,8.2,0.059,0.947,6.2,0.186,1.065,19.9,0.048,0.913,5.2,0.055,1.323,5.9,0.053,0.935,5.6,0.051,1.099,5.4,0.062,0.612,6.7
Los Angeles Lakers,9159.400000000001,0.083,0.874,9.2,0.147,1.063,16.4,0.209,0.834,23.4,0.058,0.996,6.4,0.056,0.77,6.3,0.148,0.936,16.5,0.061,1.005,6.8,0.076,1.113,8.5,0.048,0.998,5.4,0.057,1.156,6.3,0.058,0.521,6.5
Memphis Grizzlies,8683.8,0.074,0.794,7.8,0.106,1.11,11.2,0.136,0.897,14.4,0.074,0.983,7.8,0.116,0.896,12.3,0.197,0.961,20.9,0.038,0.948,4.0,0.072,1.161,7.6,0.061,0.962,6.4,0.066,1.024,7.0,0.062,0.483,6.5
Miami Heat,8823.199999999999,0.069,0.846,7.5,0.13,1.128,14.0,0.189,0.807,20.3,0.057,1.061,6.2,0.051,0.83,5.5,0.217,0.975,23.3,0.057,0.884,6.1,0.072,1.18,7.7,0.046,1.039,5.0,0.061,1.135,6.6,0.05,0.535,5.4
Milwaukee Bucks,8593.6,0.072,0.735,7.6,0.149,1.16,15.6,0.134,0.767,14.0,0.06,1.122,6.3,0.081,0.931,8.5,0.213,1.016,22.3,0.048,0.99,5.0,0.098,1.298,10.3,0.038,0.942,4.0,0.05,1.131,5.2,0.058,0.481,6.0
Minnesota Timberwolves,8864.199999999999,0.066,0.753,7.1,0.136,1.115,14.7,0.166,0.812,18.0,0.073,1.141,7.9,0.101,0.96,11.0,0.201,0.96,21.7,0.043,0.958,4.6,0.068,1.242,7.3,0.035,1.01,3.8,0.059,1.133,6.3,0.053,0.53,5.7
New Orleans Pelicans,8913.4,0.074,0.849,8.0,0.149,1.063,16.2,0.175,0.795,19.0,0.088,1.076,9.6,0.062,0.898,6.7,0.214,0.991,23.3,0.03,1.07,3.3,0.063,1.208,6.9,0.049,0.8,5.3,0.046,1.142,5.0,0.05,0.582,5.4
New York Knicks,9077.4,0.097,0.897,10.7,0.129,1.025,14.3,0.155,0.795,17.1,0.06,1.027,6.7,0.067,0.845,7.4,0.202,0.992,22.3,0.035,0.944,3.9,0.078,1.2,8.6,0.056,0.933,6.2,0.063,1.021,7.0,0.059,0.544,6.5
Oklahoma City Thunder,9266.0,0.077,0.904,8.7,0.163,1.075,18.4,0.17,0.822,19.2,0.077,1.046,8.7,0.101,0.868,11.4,0.164,0.939,18.6,0.031,0.827,3.5,0.075,1.187,8.5,0.026,0.946,2.9,0.063,1.002,7.1,0.053,0.497,6.0
Orlando Magic,8938.000000000002,0.051,0.869,5.5,0.153,1.08,16.7,0.157,0.834,17.1,0.081,0.931,8.8,0.073,0.814,8.0,0.187,0.915,20.4,0.05,0.9,5.5,0.067,1.26,7.3,0.072,0.908,7.8,0.052,1.061,5.6,0.058,0.462,6.3
Philadelphia 76ers,9069.2,0.064,0.836,7.0,0.152,1.009,16.8,0.123,0.732,13.6,0.065,1.007,7.2,0.071,0.853,7.9,0.23,0.946,25.5,0.057,0.85,6.3,0.079,1.267,8.8,0.045,0.845,5.0,0.055,1.062,6.1,0.058,0.541,6.4
Phoenix Suns,9438.2,0.071,0.851,8.2,0.172,1.124,19.7,0.226,0.841,26.0,0.047,1.059,5.4,0.046,0.759,5.3,0.155,0.922,17.9,0.029,0.71,3.4,0.069,1.237,8.0,0.052,0.871,6.0,0.066,1.167,7.6,0.066,0.473,7.6
Portland Trail Blazers,8954.4,0.08,0.95,8.7,0.115,1.153,12.5,0.204,0.948,22.3,0.059,0.945,6.5,0.043,0.899,4.7,0.184,1.018,20.1,0.059,0.928,6.5,0.081,1.173,8.8,0.067,0.95,7.4,0.053,1.034,5.8,0.054,0.492,5.9
Sacramento Kings,8683.800000000001,0.078,0.866,8.3,0.133,1.081,14.1,0.135,0.815,14.3,0.068,1.034,7.2,0.083,0.924,8.8,0.212,1.049,22.4,0.036,0.911,3.8,0.086,1.149,9.1,0.053,0.95,5.7,0.049,1.028,5.1,0.067,0.516,7.1
San Antonio Spurs,8716.599999999999,0.059,0.821,6.3,0.12,1.128,12.7,0.159,0.875,16.9,0.078,0.974,8.3,0.093,0.87,9.9,0.227,1.07,24.1,0.047,0.91,5.0,0.067,1.264,7.2,0.046,0.957,4.9,0.053,1.171,5.6,0.051,0.555,5.4
Toronto Raptors,8782.2,0.085,0.982,9.0,0.134,1.13,14.3,0.242,0.948,25.9,0.058,1.118,6.2,0.057,0.976,6.1,0.195,0.998,20.9,0.028,0.856,3.0,0.049,1.222,5.3,0.046,0.963,4.9,0.056,1.012,6.0,0.051,0.556,5.5
Utah Jazz,8372.2,0.066,0.813,6.8,0.09,1.217,9.2,0.205,0.912,21.0,0.064,1.063,6.5,0.048,0.84,4.9,0.221,0.977,22.5,0.057,0.921,5.8,0.09,1.236,9.2,0.055,1.046,5.6,0.052,1.057,5.3,0.052,0.513,5.3
Washington Wizards,8970.8,0.079,0.866,8.6,0.156,1.189,17.1,0.179,0.85,19.7,0.065,1.072,7.1,0.055,0.879,6.0,0.173,1.052,18.9,0.024,0.866,2.6,0.074,1.229,8.1,0.08,0.973,8.7,0.054,1.103,5.9,0.061,0.55,6.7
