TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Atlanta Hawks,9052.800000000001,0.06,0.852,6.6,0.129,1.021,14.2,0.177,0.783,19.5,0.071,0.911,7.8,0.062,0.896,6.8,0.196,0.993,21.7,0.044,0.803,4.9,0.077,1.268,8.5,0.065,0.954,7.2,0.055,1.06,6.1,0.064,0.586,7.1
Boston Celtics,8814.999999999998,0.055,0.876,5.9,0.13,1.059,14.0,0.146,0.904,15.7,0.068,1.048,7.3,0.065,0.93,7.0,0.223,1.054,24.0,0.065,0.917,7.0,0.075,1.316,8.1,0.066,0.99,7.1,0.042,1.103,4.5,0.065,0.592,6.9
Brooklyn Nets,9159.4,0.067,0.9,7.5,0.151,1.077,16.8,0.162,0.783,18.1,0.069,1.09,7.7,0.074,0.926,8.2,0.237,0.934,26.4,0.041,0.968,4.6,0.063,1.185,7.1,0.041,0.79,4.5,0.045,1.154,5.0,0.052,0.567,5.8
Charlotte Hornets,8700.2,0.041,0.823,4.3,0.097,1.125,10.3,0.229,0.877,24.3,0.072,1.053,7.6,0.047,0.946,4.9,0.214,0.972,22.7,0.055,1.013,5.8,0.082,1.286,8.7,0.075,0.969,8.0,0.037,1.188,4.0,0.052,0.566,5.5
Chicago Bulls,8995.400000000001,0.068,0.818,7.5,0.128,1.115,14.0,0.189,0.809,20.7,0.071,0.936,7.8,0.077,0.921,8.5,0.203,0.987,22.3,0.042,0.813,4.6,0.066,1.141,7.2,0.035,0.934,3.9,0.065,1.077,7.1,0.056,0.531,6.1
Cleveland Cavaliers,8831.4,0.119,0.99,12.8,0.163,1.155,17.5,0.156,0.9,16.8,0.062,1.071,6.7,0.067,0.916,7.3,0.197,1.088,21.2,0.025,0.973,2.7,0.059,1.317,6.3,0.052,1.022,5.6,0.042,1.005,4.6,0.057,0.506,6.2
Dallas Mavericks,8323.0,0.105,0.88,10.6,0.088,1.029,8.9,0.165,0.836,16.8,0.084,1.073,8.5,0.071,0.924,7.2,0.223,1.036,22.6,0.029,0.971,2.9,0.057,1.294,5.8,0.091,0.932,9.2,0.03,1.104,3.1,0.058,0.529,5.9
Denver Nuggets,9216.800000000001,0.064,0.941,7.2,0.143,1.052,16.0,0.144,0.841,16.2,0.059,1.08,6.6,0.078,0.961,8.8,0.198,1.013,22.3,0.062,0.934,7.0,0.092,1.335,10.3,0.039,0.934,4.4,0.064,1.077,7.2,0.057,0.523,6.4
Detroit Pistons,8880.6,0.068,0.917,7.3,0.142,1.083,15.4,0.208,0.849,22.5,0.065,0.995,7.1,0.086,0.829,9.3,0.175,0.916,19.0,0.044,0.944,4.8,0.056,1.294,6.0,0.035,0.793,3.8,0.071,1.044,7.7,0.05,0.47,5.4
Golden State Warriors,9093.800000000001,0.057,0.938,6.3,0.185,1.207,20.5,0.109,0.883,12.1,0.04,0.936,4.4,0.051,0.779,5.6,0.164,1.099,18.2,0.031,0.975,3.4,0.123,1.333,13.6,0.13,1.036,14.4,0.041,1.005,4.6,0.07,0.522,7.8
