TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Houston Rockets,9143.0,0.094,0.871,10.5,0.19,1.107,21.2,0.133,0.832,14.8,0.048,1.027,5.4,0.064,0.83,7.1,0.203,0.961,22.6,0.031,0.874,3.5,0.074,1.181,8.3,0.033,0.964,3.7,0.056,1.039,6.3,0.072,0.564,8.1
Indiana Pacers,8962.6,0.066,0.777,7.2,0.155,1.109,16.9,0.176,0.783,19.3,0.067,0.97,7.3,0.059,0.775,6.5,0.152,0.95,16.6,0.045,0.799,4.9,0.084,1.253,9.1,0.083,0.978,9.1,0.049,1.169,5.4,0.064,0.522,7.0
LA Clippers,8716.599999999999,0.095,0.921,10.1,0.128,1.144,13.6,0.184,0.879,19.5,0.083,1.047,8.8,0.044,0.815,4.7,0.17,1.023,18.1,0.056,0.85,5.9,0.06,1.302,6.4,0.068,1.046,7.2,0.04,1.037,4.2,0.073,0.606,7.8
Los Angeles Lakers,8880.599999999999,0.106,0.774,11.5,0.129,1.001,13.9,0.22,0.847,23.8,0.052,0.929,5.7,0.081,0.766,8.7,0.146,0.933,15.8,0.045,0.885,4.9,0.061,1.239,6.6,0.051,0.874,5.5,0.055,1.031,6.0,0.055,0.523,5.9
Memphis Grizzlies,8733.0,0.077,0.862,8.2,0.115,1.063,12.2,0.147,0.83,15.6,0.065,1.007,6.9,0.121,0.835,12.9,0.179,0.898,19.1,0.036,0.861,3.9,0.079,1.206,8.4,0.047,0.915,5.0,0.069,1.027,7.4,0.065,0.595,6.9
Miami Heat,8626.4,0.067,0.849,7.1,0.126,1.08,13.2,0.17,0.819,17.8,0.076,1.172,8.0,0.077,0.831,8.1,0.205,0.957,21.5,0.041,0.818,4.3,0.073,1.24,7.7,0.046,0.904,4.8,0.061,1.192,6.4,0.06,0.51,6.3
Milwaukee Bucks,8741.2,0.085,0.858,9.0,0.138,1.138,14.7,0.125,0.736,13.3,0.05,1.018,5.3,0.101,0.836,10.8,0.181,0.897,19.3,0.044,0.898,4.6,0.111,1.155,11.8,0.044,0.906,4.7,0.062,1.082,6.6,0.061,0.505,6.5
Minnesota Timberwolves,8814.999999999998,0.071,0.887,7.6,0.135,1.136,14.5,0.15,0.741,16.1,0.084,0.974,9.0,0.095,0.908,10.2,0.165,0.933,17.7,0.041,0.951,4.4,0.068,1.341,7.3,0.072,0.896,7.7,0.057,1.207,6.1,0.064,0.541,6.9
New Orleans Pelicans,8897.000000000002,0.073,0.797,7.9,0.128,1.14,13.8,0.205,0.847,22.2,0.086,1.034,9.3,0.064,0.83,7.0,0.189,0.932,20.5,0.037,0.914,4.0,0.06,1.236,6.5,0.05,1.07,5.4,0.053,1.002,5.8,0.056,0.519,6.1
New York Knicks,8692.0,0.093,0.916,9.9,0.112,1.019,11.9,0.108,0.776,11.4,0.055,0.965,5.9,0.143,0.877,15.1,0.196,0.957,20.8,0.036,0.854,3.8,0.077,1.181,8.2,0.061,0.887,6.5,0.058,1.158,6.1,0.061,0.5,6.4
Oklahoma City Thunder,9225.0,0.082,0.859,9.2,0.16,1.133,18.0,0.17,0.846,19.2,0.086,1.029,9.7,0.066,1.003,7.5,0.166,0.956,18.7,0.022,0.839,2.4,0.079,1.23,8.8,0.047,0.943,5.3,0.065,1.075,7.3,0.057,0.556,6.4
Orlando Magic,8929.800000000001,0.053,0.882,5.8,0.134,1.109,14.6,0.163,0.741,17.8,0.088,1.01,9.5,0.07,0.896,7.6,0.209,0.959,22.8,0.045,0.865,4.9,0.069,1.183,7.5,0.049,0.919,5.4,0.059,1.101,6.4,0.06,0.543,6.6
Philadelphia 76ers,8938.0,0.085,0.735,9.3,0.152,1.051,16.6,0.138,0.676,15.1,0.066,0.949,7.2,0.063,0.855,6.8,0.221,0.937,24.1,0.053,0.901,5.8,0.084,1.075,9.1,0.033,0.877,3.6,0.053,1.123,5.7,0.053,0.425,5.7
Phoenix Suns,9192.2,0.064,0.783,7.2,0.145,1.077,16.2,0.165,0.771,18.5,0.056,1.033,6.3,0.081,0.747,9.1,0.183,0.953,20.5,0.042,0.706,4.7,0.074,1.119,8.3,0.056,0.929,6.3,0.063,1.092,7.0,0.071,0.447,8.0
Portland Trail Blazers,8987.2,0.082,0.875,9.0,0.125,1.05,13.7,0.204,0.875,22.3,0.067,0.99,7.3,0.029,0.785,3.1,0.185,1.021,20.3,0.054,0.875,6.0,0.077,1.216,8.5,0.06,0.909,6.6,0.057,1.104,6.2,0.06,0.553,6.6
Sacramento Kings,9282.399999999998,0.076,0.763,8.5,0.185,1.086,21.0,0.12,0.783,13.6,0.063,0.981,7.2,0.067,0.905,7.6,0.196,0.945,22.2,0.035,0.884,3.9,0.081,1.169,9.2,0.06,0.929,6.7,0.056,1.069,6.4,0.061,0.551,6.9
San Antonio Spurs,8519.800000000001,0.051,0.908,5.3,0.108,1.093,11.2,0.139,0.859,14.4,0.074,0.948,7.7,0.143,0.991,14.9,0.214,1.045,22.3,0.04,0.848,4.2,0.076,1.268,7.9,0.053,0.982,5.5,0.047,1.282,4.8,0.055,0.459,5.7
Toronto Raptors,8618.2,0.081,0.873,8.5,0.116,1.211,12.2,0.207,0.902,21.7,0.054,1.056,5.7,0.064,0.805,6.8,0.203,1.007,21.3,0.031,0.936,3.2,0.061,1.251,6.4,0.069,0.878,7.3,0.055,0.96,5.8,0.059,0.635,6.2
Utah Jazz,8601.800000000001,0.063,0.913,6.6,0.105,1.136,11.0,0.18,0.787,18.9,0.066,1.061,7.0,0.041,0.838,4.3,0.231,0.97,24.2,0.077,0.837,8.0,0.093,1.14,9.8,0.029,0.835,3.0,0.056,1.067,5.9,0.059,0.413,6.2
Washington Wizards,8921.6,0.049,0.864,5.4,0.189,1.101,20.6,0.181,0.778,19.7,0.068,1.068,7.4,0.052,0.84,5.6,0.193,0.976,21.0,0.028,0.843,3.1,0.088,1.215,9.5,0.054,0.893,5.9,0.04,0.983,4.3,0.058,0.534,6.3
