TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Atlanta Hawks,8806.8,0.056,0.803,6.0,0.149,1.118,16.0,0.167,0.733,18.0,0.086,1.029,9.2,0.057,0.97,6.1,0.21,0.978,22.6,0.043,0.929,4.6,0.084,1.216,9.0,0.061,0.959,6.5,0.034,1.046,3.7,0.053,0.572,5.7
Boston Celtics,9257.800000000001,0.052,0.783,5.8,0.163,1.102,18.5,0.143,0.781,16.1,0.073,0.956,8.2,0.059,0.869,6.7,0.199,0.937,22.5,0.066,0.862,7.4,0.068,1.258,7.7,0.061,0.952,6.9,0.056,1.017,6.3,0.06,0.564,6.8
Brooklyn Nets,8823.2,0.068,0.823,7.4,0.126,1.067,13.6,0.152,0.752,16.3,0.097,0.97,10.5,0.1,0.889,10.7,0.187,0.939,20.1,0.026,0.807,2.8,0.089,1.175,9.5,0.043,0.862,4.7,0.06,0.992,6.5,0.051,0.479,5.5
Charlotte Hornets,8733.0,0.052,0.752,5.6,0.107,1.151,11.4,0.198,0.856,21.1,0.072,1.097,7.7,0.064,0.851,6.8,0.218,0.985,23.2,0.054,0.931,5.8,0.068,1.195,7.3,0.068,1.035,7.2,0.041,1.127,4.4,0.057,0.59,6.0
Chicago Bulls,8987.199999999999,0.064,0.815,7.0,0.117,0.995,12.9,0.183,0.829,20.1,0.065,0.979,7.1,0.082,0.809,9.0,0.198,1.025,21.7,0.051,0.877,5.6,0.079,1.215,8.6,0.038,0.944,4.1,0.063,0.988,6.9,0.06,0.491,6.6
Cleveland Cavaliers,8667.4,0.089,0.845,9.4,0.132,1.196,14.0,0.179,0.816,18.9,0.063,1.158,6.7,0.081,0.886,8.5,0.202,1.054,21.4,0.032,0.895,3.4,0.07,1.227,7.4,0.047,1.015,4.9,0.045,1.021,4.7,0.06,0.511,6.4
Dallas Mavericks,8716.6,0.063,0.885,6.7,0.096,1.155,10.2,0.178,0.801,18.9,0.075,1.034,8.0,0.08,0.941,8.5,0.221,1.012,23.5,0.035,0.868,3.7,0.082,1.242,8.8,0.07,0.869,7.5,0.039,0.982,4.1,0.06,0.613,6.4
Denver Nuggets,9003.599999999999,0.062,0.71,6.8,0.134,1.133,14.7,0.172,0.754,18.9,0.077,1.045,8.5,0.068,0.874,7.5,0.194,0.904,21.3,0.05,0.894,5.5,0.087,1.19,9.5,0.029,1.023,3.2,0.064,1.021,7.0,0.063,0.593,6.9
Detroit Pistons,9052.800000000001,0.07,0.78,7.8,0.131,1.079,14.4,0.203,0.817,22.4,0.06,1.017,6.6,0.085,0.824,9.3,0.187,1.011,20.6,0.03,0.753,3.3,0.052,1.258,5.8,0.035,0.774,3.9,0.079,1.015,8.7,0.068,0.582,7.6
Golden State Warriors,9143.0,0.063,0.927,7.0,0.175,1.158,19.5,0.105,0.98,11.7,0.051,0.993,5.6,0.061,0.801,6.8,0.166,1.097,18.4,0.028,1.066,3.2,0.107,1.249,12.0,0.118,1.062,13.1,0.048,0.914,5.4,0.079,0.575,8.8
