TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Atlanta Hawks,7798.8,0.041,0.947,4.8,0.152,1.098,17.7,0.23,0.864,26.8,0.077,1.162,8.9,0.026,1.015,3.0,0.213,0.918,24.8,0.069,0.841,8.1,0.061,1.224,7.1,0.025,0.755,2.9,0.051,1.148,6.0,0.054,0.539,6.3
Boston Celtics,7212.8,0.068,0.967,7.6,0.151,1.145,17.0,0.218,0.983,24.5,0.051,1.114,5.8,0.041,0.986,4.6,0.193,0.974,21.8,0.046,0.901,5.2,0.062,1.252,7.0,0.058,0.919,6.6,0.059,1.002,6.7,0.053,0.529,5.9
Brooklyn Nets,7379.200000000001,0.075,0.838,8.6,0.143,1.118,16.5,0.216,0.837,24.9,0.057,1.208,6.5,0.004,0.821,0.4,0.217,0.946,25.0,0.046,0.944,5.3,0.067,1.333,7.8,0.064,0.943,7.4,0.051,0.966,5.9,0.061,0.532,7.0
Charlotte Hornets,7078.5,0.047,0.776,5.1,0.147,1.054,16.0,0.169,0.834,18.4,0.08,0.945,8.7,0.047,0.948,5.1,0.236,0.99,25.7,0.047,0.778,5.1,0.07,1.228,7.7,0.049,0.89,5.3,0.055,1.061,6.0,0.054,0.508,5.8
Chicago Bulls,7286.5,0.05,0.82,5.6,0.158,1.083,17.7,0.216,0.821,24.3,0.067,1.035,7.5,0.023,0.863,2.6,0.229,0.98,25.7,0.055,0.826,6.2,0.063,1.226,7.0,0.04,0.903,4.4,0.051,1.17,5.7,0.048,0.54,5.4
Cleveland Cavaliers,7299.5,0.068,0.877,7.6,0.128,1.071,14.4,0.206,0.823,23.1,0.059,1.065,6.7,0.057,0.895,6.4,0.189,1.001,21.2,0.063,0.855,7.1,0.074,1.252,8.3,0.036,0.981,4.0,0.058,1.105,6.5,0.063,0.513,7.0
Dallas Mavericks,7497.3,0.061,0.925,6.8,0.132,1.093,14.8,0.204,0.997,22.9,0.073,1.247,8.1,0.037,0.891,4.1,0.245,1.062,27.4,0.041,0.958,4.6,0.049,1.365,5.5,0.055,0.861,6.1,0.052,1.144,5.8,0.052,0.63,5.8
Denver Nuggets,7189.0,0.05,0.898,5.6,0.139,1.088,15.4,0.148,0.834,16.3,0.066,1.107,7.3,0.074,0.977,8.2,0.201,1.027,22.3,0.074,0.881,8.2,0.087,1.359,9.6,0.042,0.95,4.6,0.058,1.103,6.4,0.061,0.542,6.7
Detroit Pistons,7240.200000000001,0.048,0.888,5.3,0.147,1.106,16.1,0.184,0.842,20.2,0.068,1.149,7.4,0.05,0.901,5.5,0.221,1.029,24.2,0.049,0.868,5.4,0.072,1.14,7.9,0.044,1.041,4.8,0.058,1.067,6.3,0.06,0.497,6.6
Golden State Warriors,7293.0,0.063,0.838,7.0,0.14,1.121,15.7,0.174,0.823,19.5,0.047,1.041,5.2,0.043,0.899,4.9,0.193,0.952,21.6,0.07,0.912,7.9,0.078,1.254,8.8,0.083,0.944,9.3,0.049,1.025,5.5,0.061,0.466,6.8
Houston Rockets,7385.599999999999,0.2,1.041,23.1,0.199,1.118,23.0,0.103,0.96,11.8,0.042,1.01,4.9,0.023,0.852,2.6,0.231,1.011,26.6,0.026,0.921,3.0,0.061,1.219,7.1,0.022,0.969,2.5,0.039,1.021,4.5,0.055,0.608,6.3
Indiana Pacers,7085.0,0.045,0.931,4.9,0.14,1.115,15.3,0.192,0.874,21.0,0.087,1.06,9.5,0.049,0.9,5.4,0.192,1.031,20.9,0.056,0.937,6.1,0.075,1.272,8.2,0.058,1.078,6.3,0.05,1.131,5.4,0.055,0.535,6.0
LA Clippers,7347.200000000001,0.068,0.892,7.8,0.138,1.071,15.8,0.224,0.919,25.8,0.063,1.172,7.2,0.064,0.949,7.3,0.191,1.058,21.9,0.031,1.013,3.5,0.055,1.255,6.4,0.053,1.181,6.0,0.059,1.034,6.8,0.055,0.526,6.3
Los Angeles Lakers,7118.999999999999,0.077,0.896,8.7,0.177,1.14,20.0,0.144,0.861,16.3,0.048,1.224,5.5,0.079,0.939,8.9,0.184,1.039,20.7,0.039,0.801,4.4,0.079,1.373,8.9,0.047,0.825,5.3,0.058,1.194,6.6,0.069,0.549,7.7
Memphis Grizzlies,7449.0,0.046,0.787,5.3,0.181,1.119,20.8,0.181,0.848,20.8,0.066,1.211,7.6,0.049,0.872,5.6,0.198,1.003,22.7,0.063,0.868,7.2,0.059,1.28,6.8,0.042,0.883,4.8,0.058,1.2,6.6,0.055,0.462,6.4
Miami Heat,7098.0,0.048,0.901,5.3,0.132,1.188,14.4,0.198,0.869,21.7,0.056,1.231,6.1,0.027,0.905,2.9,0.196,1.042,21.4,0.088,1.063,9.6,0.097,1.298,10.6,0.048,1.106,5.2,0.038,1.041,4.1,0.072,0.556,7.9
Milwaukee Bucks,7494.5,0.072,0.911,8.3,0.21,1.072,24.2,0.132,0.941,15.2,0.055,1.129,6.3,0.066,0.958,7.6,0.194,1.06,22.4,0.056,1.036,6.4,0.065,1.312,7.6,0.047,0.989,5.4,0.045,1.173,5.2,0.058,0.582,6.7
Minnesota Timberwolves,7500.8,0.059,0.923,6.9,0.149,1.08,17.5,0.17,0.891,19.9,0.06,1.038,7.0,0.039,0.907,4.5,0.241,0.95,28.3,0.068,0.883,7.9,0.064,1.325,7.5,0.04,0.848,4.7,0.053,1.132,6.2,0.058,0.548,6.8
New Orleans Pelicans,7532.800000000001,0.057,0.923,6.7,0.176,1.096,20.8,0.168,0.766,19.8,0.053,1.24,6.3,0.033,0.909,3.9,0.225,1.014,26.5,0.052,0.982,6.2,0.063,1.328,7.4,0.067,0.939,7.9,0.048,1.105,5.7,0.055,0.573,6.5
New York Knicks,7471.200000000002,0.067,0.778,7.6,0.141,1.033,16.0,0.178,0.777,20.2,0.062,1.212,7.0,0.07,0.892,7.9,0.199,0.922,22.5,0.054,0.908,6.1,0.055,1.329,6.3,0.05,0.87,5.6,0.072,1.127,8.1,0.052,0.506,5.9
Oklahoma City Thunder,6950.400000000001,0.084,0.967,9.1,0.141,1.099,15.3,0.231,0.962,25.1,0.067,1.254,7.3,0.043,0.959,4.6,0.223,0.966,24.3,0.04,0.868,4.4,0.055,1.311,5.9,0.024,1.112,2.6,0.039,1.045,4.2,0.054,0.747,5.8
Orlando Magic,7156.5,0.031,0.802,3.4,0.137,1.131,15.1,0.204,0.882,22.4,0.066,1.049,7.3,0.058,0.788,6.4,0.187,0.92,20.6,0.061,0.925,6.7,0.078,1.28,8.6,0.067,1.058,7.4,0.06,1.005,6.6,0.051,0.49,5.6
Philadelphia 76ers,7208.5,0.049,0.856,5.4,0.165,1.085,18.3,0.131,0.837,14.5,0.052,1.005,5.8,0.113,1.0,12.6,0.215,1.028,23.9,0.053,0.906,5.9,0.068,1.309,7.6,0.041,1.007,4.5,0.048,1.083,5.4,0.063,0.566,7.0
Phoenix Suns,7345.0,0.039,0.896,4.4,0.159,1.187,18.0,0.159,0.832,18.0,0.063,1.078,7.1,0.05,0.926,5.6,0.23,0.967,26.0,0.053,0.933,6.0,0.09,1.258,10.2,0.045,0.937,5.1,0.048,1.116,5.4,0.064,0.621,7.2
Portland Trail Blazers,7431.599999999999,0.1,0.955,11.2,0.127,1.116,14.3,0.24,0.98,27.1,0.062,1.084,7.0,0.057,0.908,6.4,0.168,1.046,18.9,0.035,1.038,4.0,0.057,1.223,6.4,0.035,1.004,4.0,0.06,1.078,6.8,0.058,0.502,6.5
Sacramento Kings,7052.799999999999,0.061,0.862,6.8,0.149,1.122,16.5,0.192,0.88,21.2,0.064,1.076,7.0,0.046,0.875,5.1,0.209,1.04,23.0,0.037,0.861,4.0,0.069,1.276,7.6,0.06,0.925,6.6,0.053,1.157,5.9,0.059,0.505,6.5
San Antonio Spurs,6986.700000000002,0.054,0.908,6.0,0.147,1.139,16.4,0.186,0.963,20.6,0.057,1.055,6.3,0.074,0.959,8.2,0.24,1.036,26.7,0.056,1.074,6.2,0.046,1.258,5.2,0.045,1.013,5.0,0.047,1.055,5.2,0.046,0.525,5.1
Toronto Raptors,7142.4,0.063,0.882,7.0,0.217,1.168,24.2,0.14,0.875,15.7,0.077,1.027,8.6,0.045,0.872,5.0,0.208,1.011,23.2,0.028,0.784,3.1,0.072,1.215,8.1,0.048,1.038,5.4,0.049,1.068,5.5,0.052,0.625,5.8
Utah Jazz,6982.400000000001,0.057,0.972,6.2,0.139,1.093,15.2,0.258,0.9,28.1,0.054,1.129,5.9,0.02,0.949,2.1,0.206,1.087,22.5,0.054,0.929,5.9,0.057,1.357,6.2,0.057,0.997,6.2,0.048,1.185,5.3,0.05,0.527,5.5
Washington Wizards,7372.8,0.054,0.892,6.2,0.189,1.109,21.8,0.187,0.864,21.5,0.056,1.11,6.4,0.017,0.84,2.0,0.203,1.054,23.4,0.051,0.958,5.9,0.079,1.248,9.1,0.055,0.951,6.4,0.049,1.147,5.6,0.06,0.548,6.9
