TEAM_NAME,total_poss,iso_freq,iso_ppp,iso_total_poss,tr_freq,tr_ppp,tr_total_poss,prb_freq,prb_ppp,prb_total_poss,prr_freq,prr_ppp,prr_total_poss,pu_freq,pu_ppp,pu_total_poss,su_freq,su_ppp,su_total_poss,ho_freq,ho_ppp,ho_total_poss,cut_freq,cut_ppp,cut_total_poss,os_freq,os_ppp,os_total_poss,putback_freq,putback_ppp,putback_total_poss,misc_freq,misc_ppp,misc_total_poss
Atlanta Hawks,9558.000000000002,0.037,0.852,4.4,0.173,1.052,20.5,0.195,0.795,23.0,0.066,1.184,7.8,0.028,0.936,3.3,0.22,1.025,25.9,0.069,0.852,8.1,0.069,1.248,8.1,0.023,0.707,2.7,0.061,0.971,7.2,0.059,0.519,7.0
Boston Celtics,9134.8,0.07,0.792,7.8,0.17,1.123,19.0,0.146,0.905,16.3,0.067,1.182,7.5,0.061,0.98,6.8,0.218,1.055,24.3,0.05,0.901,5.5,0.061,1.242,6.8,0.059,0.985,6.5,0.045,1.041,5.0,0.053,0.562,5.9
Brooklyn Nets,9429.999999999998,0.081,0.962,9.3,0.135,0.993,15.6,0.206,0.891,23.7,0.066,1.05,7.5,0.009,0.768,1.0,0.216,0.988,24.8,0.04,0.95,4.6,0.073,1.234,8.4,0.07,1.023,8.0,0.051,1.056,5.9,0.054,0.6,6.2
Charlotte Hornets,9118.4,0.062,0.912,6.9,0.144,1.095,16.0,0.225,0.932,25.0,0.067,1.044,7.4,0.019,1.012,2.1,0.219,1.006,24.4,0.055,0.92,6.1,0.065,1.264,7.2,0.047,0.948,5.2,0.047,1.077,5.2,0.051,0.603,5.7
Chicago Bulls,9003.600000000002,0.073,0.815,8.0,0.13,1.077,14.3,0.2,0.854,22.0,0.077,1.1,8.4,0.067,0.917,7.4,0.206,0.979,22.6,0.056,0.862,6.1,0.058,1.258,6.3,0.037,0.88,4.1,0.046,1.07,5.0,0.051,0.547,5.6
Cleveland Cavaliers,8946.2,0.081,0.802,8.8,0.134,1.078,14.6,0.213,0.858,23.3,0.048,1.058,5.2,0.049,0.743,5.4,0.191,1.018,20.8,0.058,0.988,6.3,0.066,1.226,7.2,0.04,0.901,4.4,0.061,1.084,6.7,0.059,0.566,6.4
Dallas Mavericks,9118.4,0.061,0.851,6.8,0.127,1.066,14.1,0.191,0.859,21.3,0.055,1.208,6.1,0.058,0.897,6.5,0.217,1.025,24.1,0.046,0.788,5.2,0.068,1.338,7.5,0.07,1.022,7.8,0.045,1.058,5.0,0.061,0.55,6.8
Denver Nuggets,9159.4,0.048,0.801,5.3,0.143,1.099,16.0,0.143,0.875,16.0,0.059,1.026,6.6,0.091,0.98,10.1,0.197,1.029,22.0,0.082,0.898,9.1,0.079,1.341,8.9,0.044,0.941,5.0,0.055,1.043,6.2,0.058,0.537,6.5
Detroit Pistons,9110.2,0.059,0.868,6.5,0.136,1.086,15.1,0.171,0.881,19.0,0.048,1.048,5.4,0.089,0.898,9.9,0.199,1.0,22.1,0.071,1.031,7.9,0.065,1.172,7.2,0.03,0.956,3.3,0.068,0.976,7.6,0.064,0.537,7.1
Golden State Warriors,9175.8,0.064,0.978,7.1,0.184,1.158,20.6,0.108,0.992,12.1,0.037,0.929,4.1,0.056,0.963,6.2,0.17,1.04,19.0,0.041,0.971,4.6,0.103,1.28,11.5,0.129,1.126,14.5,0.042,1.149,4.7,0.067,0.494,7.5
Houston Rockets,9020.0,0.204,1.057,22.4,0.154,1.152,17.0,0.147,0.903,16.2,0.063,1.109,7.0,0.017,1.013,1.9,0.199,1.047,21.9,0.033,0.98,3.7,0.059,1.273,6.4,0.028,0.925,3.1,0.044,0.987,4.8,0.051,0.558,5.6
Indiana Pacers,8978.999999999998,0.052,0.794,5.7,0.149,1.113,16.3,0.157,0.814,17.2,0.101,1.027,11.0,0.07,0.893,7.6,0.165,1.059,18.1,0.05,0.879,5.5,0.087,1.253,9.6,0.061,0.969,6.6,0.05,1.23,5.5,0.058,0.538,6.4
LA Clippers,9307.0,0.064,0.933,7.2,0.133,1.084,15.1,0.228,0.898,25.8,0.069,1.212,7.9,0.07,0.972,7.9,0.171,1.084,19.4,0.047,0.813,5.4,0.069,1.251,7.8,0.039,1.033,4.5,0.052,1.143,5.9,0.058,0.633,6.6
Los Angeles Lakers,9470.999999999998,0.081,0.906,9.4,0.196,1.083,22.6,0.17,0.827,19.7,0.059,1.128,6.8,0.05,0.899,5.8,0.166,0.95,19.2,0.026,1.024,3.0,0.081,1.316,9.3,0.06,0.827,6.9,0.051,1.058,5.9,0.06,0.504,6.9
Memphis Grizzlies,8815.0,0.058,0.864,6.2,0.13,1.138,14.0,0.164,0.845,17.6,0.073,1.034,7.9,0.077,0.92,8.3,0.205,0.936,22.1,0.047,0.91,5.0,0.086,1.262,9.2,0.049,0.984,5.3,0.047,1.068,5.0,0.064,0.504,6.9
Miami Heat,9134.800000000001,0.046,0.775,5.1,0.124,1.065,13.8,0.188,0.754,21.0,0.062,1.157,6.9,0.042,0.84,4.7,0.205,1.04,22.9,0.083,0.879,9.3,0.08,1.236,9.0,0.037,0.926,4.1,0.064,1.031,7.1,0.068,0.575,7.5
Milwaukee Bucks,9339.8,0.084,0.975,9.6,0.215,1.12,24.5,0.122,0.914,13.9,0.049,1.126,5.6,0.053,0.953,6.0,0.229,1.046,26.1,0.05,0.994,5.6,0.061,1.329,6.9,0.048,0.98,5.4,0.044,1.1,5.0,0.046,0.547,5.3
Minnesota Timberwolves,9380.8,0.067,0.841,7.7,0.143,1.13,16.4,0.169,0.84,19.4,0.064,1.179,7.4,0.1,0.944,11.4,0.209,0.954,23.9,0.039,0.872,4.5,0.066,1.32,7.5,0.025,0.94,2.8,0.061,1.139,6.9,0.057,0.591,6.5
New Orleans Pelicans,9561.2,0.069,0.861,8.0,0.179,1.022,20.9,0.129,0.805,15.0,0.055,1.138,6.5,0.073,0.987,8.5,0.195,0.995,22.8,0.047,0.933,5.5,0.076,1.314,8.8,0.06,1.014,7.0,0.058,1.135,6.8,0.058,0.682,6.8
New York Knicks,9200.4,0.056,0.759,6.3,0.146,1.057,16.4,0.214,0.876,24.0,0.051,1.104,5.8,0.054,0.86,6.1,0.201,0.936,22.6,0.067,0.856,7.5,0.044,1.209,4.9,0.052,0.842,5.9,0.062,1.112,7.0,0.051,0.531,5.7
Oklahoma City Thunder,9549.9,0.089,0.833,10.5,0.197,1.047,23.3,0.179,0.853,21.1,0.061,1.019,7.2,0.071,0.921,8.4,0.179,1.022,21.2,0.026,0.939,3.0,0.062,1.274,7.3,0.029,0.996,3.4,0.055,0.971,6.5,0.051,0.608,6.0
Orlando Magic,9003.6,0.042,0.9,4.6,0.113,1.129,12.4,0.185,0.826,20.3,0.059,1.109,6.5,0.076,0.885,8.4,0.216,1.017,23.7,0.058,0.902,6.4,0.065,1.319,7.1,0.074,0.946,8.1,0.057,1.127,6.2,0.056,0.535,6.1
Philadelphia 76ers,9421.800000000001,0.043,0.882,5.0,0.174,1.07,20.0,0.115,0.907,13.1,0.035,1.103,4.0,0.107,0.938,12.3,0.181,1.01,20.8,0.082,1.05,9.5,0.086,1.296,9.9,0.046,1.016,5.3,0.055,1.083,6.3,0.076,0.565,8.7
Phoenix Suns,9192.199999999999,0.058,0.873,6.5,0.167,1.091,18.7,0.209,0.833,23.4,0.056,1.093,6.3,0.05,0.989,5.6,0.197,0.923,22.1,0.043,0.799,4.9,0.065,1.342,7.2,0.048,0.946,5.4,0.049,1.136,5.5,0.058,0.546,6.5
Portland Trail Blazers,9307.0,0.068,0.904,7.7,0.11,1.084,12.5,0.189,0.983,21.5,0.056,1.173,6.3,0.072,0.951,8.2,0.173,0.996,19.6,0.066,0.972,7.5,0.09,1.26,10.2,0.053,0.931,6.0,0.063,1.058,7.2,0.06,0.559,6.8
Sacramento Kings,9495.599999999999,0.069,0.831,8.0,0.21,1.127,24.4,0.164,0.842,19.0,0.062,1.075,7.1,0.068,0.832,7.9,0.159,1.031,18.5,0.04,0.944,4.6,0.066,1.238,7.7,0.048,0.987,5.5,0.058,1.087,6.7,0.055,0.557,6.4
San Antonio Spurs,8938.0,0.068,0.951,7.4,0.108,1.097,11.8,0.185,0.915,20.2,0.056,1.055,6.2,0.122,0.988,13.3,0.219,1.12,23.8,0.046,0.981,5.1,0.059,1.273,6.4,0.04,0.997,4.3,0.048,1.106,5.3,0.048,0.605,5.2
Toronto Raptors,9151.2,0.069,0.938,7.7,0.202,1.192,22.5,0.15,0.871,16.8,0.073,1.073,8.1,0.066,0.937,7.3,0.204,1.048,22.8,0.032,0.949,3.6,0.054,1.267,6.0,0.045,0.978,5.0,0.049,1.086,5.5,0.056,0.572,6.3
Utah Jazz,9208.599999999999,0.032,0.831,3.6,0.136,1.065,15.3,0.215,0.857,24.1,0.064,1.218,7.2,0.014,0.984,1.6,0.223,1.037,25.0,0.077,0.908,8.6,0.079,1.278,8.8,0.05,0.842,5.6,0.053,1.171,6.0,0.058,0.621,6.5
Washington Wizards,9307.0,0.068,0.835,7.8,0.182,1.141,20.6,0.151,0.864,17.2,0.06,1.084,6.8,0.041,0.934,4.6,0.23,1.007,26.1,0.038,0.929,4.3,0.075,1.324,8.5,0.049,0.952,5.5,0.05,1.152,5.7,0.057,0.532,6.4
